0:  zero-function
1652:  -033-144-251-364-010-782
1654:  -123-014-451-230-672
1656:  -010-014-344-264-352-782
1658:  -234-044-154-353-462-781
1660:  -234-144-054-462-353-781
1662:  -132-244-014-364-571-384
1664:  -034-242-351-264-144-782
1666:  -132-244-124-064-573
1668:  -030-144-024-464-572
1670:  -032-242-124-064-573
1672:  -230-034-131-154-463-783
1674:  -010-130-242-054-673
1676:  -032-014-250-461-574
1678:  -032-014-253-140-671
1680:  -014-234-344-562
1682:  -014-244-121-234-672-582
1684:  -014-244-122-234-671-580
1686:  -014-342-252-464
1688:  -034-243-234-561-144-782
1690:  -230-234-041-153-364-784
1692:  -032-024-453-164-230-782
1694:  -021-014-452-363-253-781
1696:  -122-044-234-560
1698:  -233-034-122-451-064-780
1700:  -032-122-054-244-672
1702:  -230-122-054-463
1704:  -014-243-051-354-672
1706:  -130-044-230-562
1708:  -032-014-253-464
1710:  -032-014-253-461
1712:  -131-040-134-234-564-782
1714:  -134-044-150-361-251-784
1716:  -014-342-251-013-371-684
1718:  -031-240-232-014-573-684
1720:  -033-144-251-364-053-782
1722:  -130-044-230-123-571-683
1724:  -123-122-234-041-670-584
1726:  -014-244-051-363-243-781
1728:  -022-144-234-560
1730:  -014-132-451-263-574
1732:  -124-341-254-050-174-680
1734:  -022-144-230-562
1736:  -014-243-151-363-574
1738:  -014-132-243-564
1740:  -030-144-230-562
1742:  -014-132-243-561
1744:  -024-031-150-464-234-780
1746:  -024-031-150-464-230-782
1748:  -014-012-344-351-261-784
1750:  -230-012-254-013-671-483
1752:  -024-140-251-141-364-780
1754:  -031-143-054-261-351-784
1756:  -132-234-014-264-570-481
1758:  -024-144-343-561-230-782
1760:  -014-020-451-234-670
1762:  -230-132-042-561-122-784
1764:  -032-141-022-564-230-782
1766:  -120-014-451-230-672
1768:  -010-241-354-011-670
1770:  -014-234-450-032-671
1772:  -014-234-450-132-671
1774:  -014-243-352-011-673
1776:  -014-342-234-563
1778:  -022-014-234-251-461-780
1780:  -032-014-453-261-230-782
1782:  -014-344-251-364
1784:  -031-143-054-261-374
1786:  -021-121-350-464
1788:  -021-121-340-564
1790:  -021-121-353-454-671
1792:  -010-342-253
1794:  -134-042-354-263
1796:  -034-142-354-263
1798:  -133-041-154-263
1800:  -010-344-253
1802:  -133-034-451-263
1804:  -134-033-451-263
1806:  -134-034-451-263
1808:  -120-341-154-062-254-783
